No.,Kode Barang,Nama Barang,Satuan,Saldo di Sistem,
1,1010301001000001,Pensil 2B,buah,0,
2,1010301001000002,Ballpoint,buah,0,
3,1010301001000003,Spidol,buah,0,
4,1010301001000004,Stabilo Artile,buah,11,
5,1010301001000005,Spidol Marker G-12,Lusin,0,
6,1010301001000027,"Isi pensil mekanik Pilot 2B 0,7",pak,19,
7,1010301001000028,Pensil Hitam,Buah,13,
8,1010301001000029,Ballpoint 3 warna,buah,0,
9,1010301001000030,Ballpoint Snowman v5,Buah,24,
10,1010301001000031,SPIDOL MAKER,BUAH,0,
11,1010301001000032,Tas Petugas Susenas,buah,0,
12,1010301001000033,Ballpoint Pilot Merah,Buah,0,
13,1010301001000034,Ballpoint Pilot Biru,Buah,0,
14,1010301001000035,Stabillo Hijau,Buah,0,
15,1010301001000036,Lem Povinal,buah,0,
16,1010301001000037,Ballpoint Biru,buah,0,
17,1010301001000038,Ballpoint Snowman Merah,buah,0,
18,1010301001000039,Ballpoint Balliner Pilot,buah,9,
19,1010301001000040,Snowman Spidol White Board,buah,0,
20,1010301001000041,Spidol Permanen,buah,12,
21,1010301001000042,"Pensil mekanik Pilot 0,7",buah,24,
22,1010301001000044,Penggaris Besi 30 cm,buah,5,
23,1010301002000001,Isi Pentel,Buah,0,
24,1010301002000002,Tinta Stempel,Lusin,0,
25,1010301002000003,Flash stamp ink,Buah,0,
26,1010301002000004,Tinta stempel,Buah,4,
27,1010301002000005,Isi Tinta Printer Canon,Buah,0,
28,1010301002000006,Tinta Stempel,botol,0,
29,1010301003000014,Binder klip no.260,buah,0,
30,1010301003000015,Binder klip no.200,buah,0,
31,1010301003000016,Paperklip,Dos,0,
32,1010301003000017,Binder Clip Besar,Dos,0,
33,1010301003000018,Binder Clip Sedang,Dos,0,
34,1010301003000019,Binder Clip Kecil,Dos,0,
35,1010301003000020,Klip Atom No.4,dos,0,
36,1010301003000021,Binder Klip no. 107,dus,56,
37,1010301003000022,Binder Klip no.260,Dos,3,
38,1010301003000023,Binder Klip No.200,Dos,0,
39,1010301003000024,Klip Atom No. 3,dos,48,
40,1010301003000025,Binder Clip 280,Dos,5,
41,1010301003000026,Binder Clip No. 111,dus,48,
42,1010301003000027,Klip Atom No. 1,dus,0,
43,1010301003000028,Binder Klip No. 155,dus,33,
44,1010301003000029,Binder Clip No. 310,dus,3,
45,1010301003000030,Klip Atom No. 5,dus,40,
46,1010301004000004,Penghapus,buah,40,
47,1010301004000005,Tip-ex,buah,8,
48,1010301004000006,Penghapus White Board Besar,buah,0,
49,1010301004000007,Tip-x Roll Big,buah,5,
50,1010301005000006,Buku folio isi 100 lbr,buah,0,
51,1010301005000007,Buku kwarto isi 100,buah,0,
52,1010301005000008,Buku Ekspedisi,buah,0,
53,1010301005000009,Buku Tabelaris 18 Kolom,buah,0,
54,1010301005000010,Buku Folio,Buah,0,
55,1010301005000011,Buku Kas Folio,Buah,0,
56,1010301005000012,Buku Kwitansi,Buah,0,
57,1010301005000013,Block Note,buah,0,
58,1010301005000014,Buku Tulis isi 100 lembar,Buah,0,
59,1010301005000015,Buku Tulis isi 200 lembar,Buah,0,
60,1010301005000016,Buku Tulis Batik,buah,0,
61,1010301006000008,Map jepit plastik,buah,0,
62,1010301006000012,Stofmap,buah,0,
63,1010301006000013,Snelhekter,buah,0,
64,1010301006000014,Snelhiter Busines File Trasparan,buah,0,
65,1010301006000015,Odner17 Folio,buah,0,
66,1010301006000016,Snelhiter Plastik Tebal,Buah,0,
67,1010301006000017,Stofmap Plastik,Buah,0,
68,1010301006000018,Stofmap Kertas,Pak,0,
69,1010301006000019,Eksekutif Map,buah,0,
70,1010301006000020,Map Ivory 230,buah,0,
71,1010301006000021,Odner Double Folio,Buah,0,
72,1010301006000022,Map file Kain,Buah,0,
73,1010301006000023,Portepel PBDT2015,buah,0,
74,1010301006000024,Portepel,buah,0,
75,1010301006000025,Dokumen Keeper,buah,0,
76,1010301006000026,Ring Binder,pcs,0,
77,1010301006000027,Zipper Binder Pocket,pcs,0,
78,1010301006000028,Snelhekter SP2020,buah,0,
79,1010301006000029,Map Portepel Folio,buah,46,
80,1010301006000030,Stofmap Plastik A3,buah,0,
81,1010301006000031,Ordner A3,buah,0,
82,1010301006000032,Stofmap Cetakan BPS Kota Semarang,buah,908,
83,1010301006000033,Snelhecter Cetakan BPS Kota Semarang,buah,0,
84,1010301006000034,Map Tali Plastik,buah,0,
85,1010301006000035,Map Arsip Folio,buah,880,
86,1010301006000036,Map Batik,buah,3,
87,1010301006000037,File Box Bantex,buah,1,
88,1010301007000009,Penggaris,buah,0,
89,1010301007000010,Penggaris A,buah,0,
90,1010301008000001,Cutter,Buah,0,
91,1010301008000002,Isi Cutter,Buah,0,
92,1010301009000010,Pita mesin ketik,buah,0,
93,1010301010000010,Isolasi Nachi 1 2 *10,Slop,0,
94,1010301010000011,lem,buah,7,
95,1010301010000012,Lakban Daimaru Coklat,buah,2,
96,1010301010000013,Ral Double Tape Spon,buah,0,
97,1010301010000014,Lakban Bening 2 inch,buah,10,
98,1010301010000015,Lem Stick,buah,0,
99,1010301010000016,Tape Dispanser,buah,0,
100,1010301010000017,Lem Bantex,buah,0,
101,1010301010000018,Lakban Coklat 2 inch,buah,5,
102,1010301010000019,Double tape,buah,3,
103,1010301010000020,Isolasi kertas,buah,0,
104,1010301010000021,Isolasi Hitam Plastik,buah,1,
105,1010301010000022,Isolasi Hitam Alligator,buah,0,
106,1010301010000023,Lem Povinal 1/2 L,botol,1,
107,1010301010000024,Lakban Hitam,buah,1,
108,1010301010000025,Isolasi,buah,8,
109,1010301010000026,Selotip Daimaru 1 inch,buah,5,
110,1010301010000027,Double tape - 3M strong extreme,buah,2,
111,1010301012000001,Staples kecil,buah,11,
112,1010301012000002,Staples Joyko HD-50,buah,5,
113,1010301013000001,Isi Staples Uk 23 10,Dos,0,
114,1010301013000002,Isi staples besar,dos,9,
115,1010301013000003,Isi staples kecil,dus,28,
116,1010301013000004,Isi staples Uk 23/15,dus,0,
117,1010301013000005,Isi Staples kangaro T-13,kotak,3,
118,1010301014000001,Stofmap  Cetakan BPS Kota Semarang,buah,0,
119,1010301014000002,Snelhekter  Cetakan BPS Kota Semarang,buah,0,
120,1010301014000003,Kuesioner SUPAS2015-DSRT,Set,0,
121,1010301014000004,Kuesioner SUPAS2015-S,Set,0,
122,1010301014000005,Kuesioner SUPAS2015-V,Set,0,
123,1010301014000006,Leaflet PBDT 2015,buah,0,
124,1010301014000007,Kuesioner PBDT2015.RT Lapangan,lembar,0,
125,1010301014000008,Kuesioner PBDT2015.RT Cadangan dan Pelatihan,lembar,0,
126,1010301014000009,Amplop PBDT2015,buah,0,
127,1010301014000010,Plakat Seminar,buah,0,
128,1010301999000001,Isi Staples Kecil,Dos,0,
129,1010301999000002,Clip,Dos,0,
130,1010301999000003,Tali Rafia ukuran 1/2,buah,4,
131,1010301999000004,Isi Staples # 369 Max,Dus,0,
132,1010301999000005,Klip Atom No.5,Piece,0,
133,1010301999000006,Klip Atom No. 3,Piece,0,
134,1010301999000007,Isi Staples No. 10,buah,0,
135,1010301999000024,Staples kecil,buah,0,
136,1010301999000025,Staples Besar,buah,0,
137,1010301999000026,Karet gelang 1/2 kg,buah,2,
138,1010301999000029,Gunting,buah,9,
139,1010301999000030,Perperator,buah,0,
140,1010301999000031,Rautan,Buah,0,
141,1010301999000032,Letter Tray 9871 2 pcs,set,0,
142,1010301999000033,Letter Tray 9871,pcs,0,
143,1010301999000034,Set of 4 Risers For 9810,set,0,
144,1010301999000035,PP Display book fc 40 pockets,pcs,0,
145,1010301999000036,Pembatas Kertas Kecil,buah,4,
146,1010301999000037,Pembatas Kertas Besar,buah,0,
147,1010301999000038,Boks File Bantex,buah,0,
148,1010301999000039,Stapler Kangaro,buah,0,
149,1010301999000040,Klip Atom No 1,dos,0,
150,1010301999000041,Memo Tempel,buah,0,
151,1010301999000042,Bantalan stempel,buah,0,
152,1010301999000043,Pencabut staples,buah,0,
153,1010301999000044,Post It Joyko 1M-30,buah,15,
154,1010301999000045,Post It 654-BIG,buah,11,
155,1010301999000046,Balliner Pilot,buah,12,
156,1010301999000047,Cutter Kenko Besar,buah,10,
157,1010302001000002,Amplop Coklat Besar,Buah,0,
158,1010302001000003,Amplop casing A 10,pak,0,
159,1010302001000016,Kertas HVS Folio 70 gr,Rim,0,
160,1010302001000017,Kertas HVS Folio 60 gr,Rim,0,
161,1010302001000018,Kertas HVS Kwarto 80 gr,Rim,0,
162,1010302001000019,Kertas HVS Kwarto 70 gr,Rim,0,
163,1010302001000020,Kertas HS Folio TV,Rim,0,
164,1010302001000021,Kertas HS F4 100 gram,Rim,0,
165,1010302001000022,Kertas HVS Double Folio A3,Rim,0,
166,1010302001000023,Kertas HVS A3 Sidu 70gr,rim,0,
167,1010302001000024,Kertas HVS A3 80gr,rim,16,
168,1010302001000025,Kertas HVS 70 gr A4 SIDU,rim,59,
169,1010302001000026,Kertas HVS F4 70gram,Rim,0,
170,1010302001000027,Kertas HVS PaperOne A4 75gr,Rim,0,
171,1010302001000028,Kertas HVS 75 gr A4 SIDU,rim,0,
172,1010302001000029,Kertas HVS 70 gr A4 Natural,rim,0,
173,1010302001000030,Kertas HVS Paper One A3,rim,0,
174,1010302002000020,Kertas Folio garis,Rim,0,
175,1010302002000021,Kertas Fax,buah,0,
176,1010302002000022,Kertas Kraft Coklat,Lembar,0,
177,1010302002000023,Kertas Dorslag A3,Buah,0,
178,1010302002000024,HVS 70 ABCD,rim,0,
179,1010302002000025,Kertas foto,lembar,0,
180,1010302002000026,Kertas Concorde A4,pak,1,
181,1010302004000001,AMPLOP CETAKAN,DOS,0,
182,1010302004000022,Amplop kabinet Putih,Dos,0,
183,1010302004000023,Amplop coklat,dos,0,
184,1010302004000024,Amplop PPL Besar,Pak,0,
185,1010302004000025,Amplop PPL Tanggung,Pak,6,
186,1010302004000026,Amplop Satuan D Folio,PAK,0,
187,1010302004000027,Amplop cetakan BPS Kota Semarang,buah,0,
188,1010302004000028,Amplop PPL Sedang,dos,0,
189,1010302004000029,Amplop Coklat Sedang,buah,0,
190,1010302004000030,Amplop PPL Cetakan BPS Kota Semarang,Dos,0,
191,1010302004000031,Amplop cetakan coklat BPS Kota Semarang,buah,0,
192,1010302004000032,Amplop PPL Coklat Cetakan BPS Kota Semarang,Dos,0,
193,1010302004000033,Amplop Kecil,dos,0,
194,1010302004000034,Amplop Kabinet Kop BPS,buah,457,
195,1010302004000035,Amplop Coklat Coklat Folio,lembar,78,
196,1010302004000036,Amplop Cokelat A4,pak,0,
197,1010302004000037,Amplop Panjang PL,Dos,0,
198,1010302004000038,Amplop Tinggi PL,Dos,0,
199,1010302004000039,Amplop kabinet cokelat cetakan BPS Kota Semarang,buah,354,
200,1010302004000040,Amplop folio cokelat cetakan BPS Kota Semarang,buah,605,
201,1010302004000041,Amplop map cokelat cetakan BPS Kota Semarang,buah,0,
202,1010303999000001,Photo Paper,buah,0,
203,1010304002000001,Casing CD,Buah,0,
204,1010304004000001,Tinta Printer,Buah,0,
205,1010304004000002,Toner Printer Series Black Print Cartridge For HP LJ I160 1320,Buah,0,
206,1010304004000003,Isi Tinta Printer HP,Buah,0,
207,1010304004000004,Toner Fuji Xerox CT200805-Black,unit,0,
208,1010304004000005,Toner Fuji Xerox CT200806-Cyan,unit,0,
209,1010304004000006,Toner Fuji Xerox CT200807 Magenta,unit,0,
210,1010304004000007,Toner Fuji Xerox CT200806-Yellow,unit,0,
211,1010304004000008,Print head Drum Fuji Xerox DPC3055DX,unit,0,
212,1010304004000009,Toner Xerox Phaser 3428,unit,0,
213,1010304004000010,Toner HP Laserjet P 2055 d,Buah,0,
214,1010304004000011,Inject Tinta Toner HP Laserjet P 2055 d,set,0,
215,1010304004000012,Refil Xerox 3428   3470 + chip,set,0,
216,1010304004000013,Tinta Canon CL-41,Buah,0,
217,1010304004000014,DRUM (ST2013),Buah,0,
218,1010304004000015,Toner Black (ST2013),Buah,0,
219,1010304004000016,Toner Yellow (ST2013),Buah,0,
220,1010304004000017,Toner Magenta (ST2013),Buah,0,
221,1010304004000018,Toner Cyan (ST2013),Buah,0,
222,1010304004000019,Maintenence Kit (ST2013),Buah,0,
223,1010304004000020,Drum X 3428 X X3435 ML3051 ODY,set,0,
224,1010304004000021,Cartridge LG 1160 1320,Set,0,
225,1010304004000022,Drum Fuji Xerox C 3055,set,0,
226,1010304004000023,Inject Tinta  Fuji  Xerox  C 3055,set,0,
227,1010304004000024,Refill Laserjet 1320,set,0,
228,1010304004000025,Refill Tinta Printer HP Laserjet P 2055D,unit,0,
229,1010304004000026,Drum HP Laserjet P 2055D,unit,0,
230,1010304004000027,Refill Xerox Phaser 3428,Unit,0,
231,1010304004000028,Refill HP Laserjet Pro 400 M401,0,0,
232,1010304004000029,Drum HP Laserjet 1320,Unit,0,
233,1010304004000030,Drum Printer HP Laserjet P2050,set,0,
234,1010304004000031,Drum Cadridge Printer HP Laserjet 400 M 401,set,0,
235,1010304004000032,Refill Toner Black Printer Fuji Xerox C3055,set,0,
236,1010304004000033,Chips Catridge Printer Fuji Xerox C3055,set,0,
237,1010304004000034,Refill Tinta Printer HP Laserjet P 2050D,unit,0,
238,1010304004000035,Toner Black (PBDT),Buah,0,
239,1010304004000036,Toner Cyan (PBDT),buah,0,
240,1010304004000037,Toner Magenta,buah,0,
241,1010304004000038,Toner Yellow,buah,0,
242,1010304004000039,Refil Printer HP Laserjet M706,unit,0,
243,1010304004000040,Chips Printer HP Laserjet M706,set,0,
244,1010304004000041,Refill Printer Canon IP2770,unit,0,
245,1010304004000042,Drum Printer HP LaserjetM786,set,0,
246,1010304004000043,Refill catridge 93A Printer HP Laserjet M706,set,0,
247,1010304004000044,chips catridge 93Aprinter HP LaserjetM706,set,0,
248,1010304004000045,chips catridge printer laserjet P2050,set,0,
249,1010304004000046,roll press printer laserjet P2050,set,0,
250,1010304004000047,refil toner 80 A,set,0,
251,1010304004000048,Cartridge CZ192A,unit,0,
252,1010304004000049,Tinta Epson,unit,0,
253,1010304004000050,TInta T7741,buah,0,
254,1010304004000051,Canon 810,buah,0,
255,1010304004000052,Canon 811,buah,0,
256,1010304004000053,Toner Cyan,buah,0,
257,1010304004000054,Cartridge Toner CF280A,buah,0,
258,1010304004000055,Tinta warna biru,botol,0,
259,1010304004000056,Tinta warna merah,botol,0,
260,1010304004000057,Tinta warna kuning,botol,0,
261,1010304004000058,Tinta warna hitam,botol,0,
262,1010304004000059,Refill Toner printer HP Laserjet M507,buah,0,
263,1010304004000060,Tinta Epson 003 Hitam,botol,0,
264,1010304004000061,Tinta Epson 003 Biru,botol,0,
265,1010304004000062,Tinta Epson 003 Merah,botol,0,
266,1010304004000063,Tinta Epson 003 Kuning,botol,0,
267,1010304004000064,Tinta Epson 6643 Merah,botol,0,
268,1010304004000065,Tinta Epson 6644 Kuning,botol,0,
269,1010304004000066,Tinta Epson 6642 Biru,botol,0,
270,1010304004000067,Tinta Canon PG 810,buah,0,
271,1010304004000068,Tinta Canon CL 811,buah,0,
272,1010304004000069,Qualiva Toner Cartridge HP 89A,Unit,0,
273,1010304004000070,Qualiva Toner Cartridge HP 80A,buah,0,
274,1010304004000071,Tinta Epson 001 (C.Y.M.K),Set,0,
275,1010304004000072,Tinta Epson Inf T,unit,0,
276,1010304004000073,Tinta Epson 003-K,unit,0,
277,1010304004000074,Eton Toner 89A,unit,0,
278,1010304004000075,Eton Toner 80A,unit,0,
279,1010304004000076,Tinta Epson 001-BK,botol,5,
280,1010304004000077,Tinta Epson 744-BK,botol,0,
281,1010304004000078,"Tinta Epson 664 (M,C,Y)",set,0,
282,1010304004000079,"Tinta Epson 001 (M,C,Y)",set,0,
283,1010304004000080,Toner INDIGO 365,set,0,
284,1010304004000081,Toner INDIGO 26X,set,0,
285,1010304004000082,Tinta Epson T7741,set,0,
286,1010304004000083,Tinta Epson 664 Yellow,set,3,
287,1010304004000084,Tinta Epson 664 Cyan,set,3,
288,1010304004000085,Tinta Epson 664 Magenta,set,3,
289,1010304004000086,Cartridge Toner 289A,buah,0,
290,1010304004000087,"Tinta Epson 008 (BK, M, Y, C)",set,0,
291,1010304004000088,Tinta Epson T774,botol,3,
292,1010304004000089,Refill Toner 89A,set,0,
293,1010304004000090,Tinta CTR T 008 Black,set,0,
294,1010304004000091,"Tinta CTR T 008 C, M, Y",set,0,
295,1010304004000092,Tinta Epson 001-C,buah,0,
296,1010304004000093,Tinta Epson 001-M,buah,0,
297,1010304004000094,Tinta Epson 008 (M),buah,4,
298,1010304004000095,Tinta Epson 008 (Y),buah,4,
299,1010304004000096,Tinta Epson 008 ( C ),buah,4,
300,1010304004000097,Cartridge Toner QTB89A non chip,unit,0,
301,1010304004000098,Cartridge Canon 810 Black,unit,0,
302,1010304004000099,Cartridge Canon 811 Colour,unit,0,
303,1010304004000100,"Tinta Epson 008 (M, Y, C)",set,0,
304,1010304004000101,Tinta Epson 008 (BK),buah,4,
305,1010304005000028,CD-R isi 50 keping,buah,0,
306,1010304005000029,CD-R isi 25 Keping,Buah,0,
307,1010304005000030,CD-R,keping,0,
308,1010304005000031,CD-GT Fro,Keping,0,
309,1010304006000001,Flash Disk,Buah,0,
310,1010304006000002,Flash Disk 8 GB,buah,0,
311,1010304006000003,Pulpen Isi Flaskdisk,buah,0,
312,1010304006000004,Flash Disk 16 GB,buah,0,
313,1010304010000001,Mouse Komputer,buah,0,
314,1010304010000002,Mouse Logitech,buah,0,
315,1010304011000001,CD-R,Keping,0,
316,1010304011000002,Label CD,Buah,0,
317,1010304011000003,Casing CD,Buah,0,
318,1010304011000004,Cetak Label CD,Buah,0,
319,1010304999000001,Cartridge Color For Fuji Xerox C 3055,Buah,0,
320,1010304999000002,Ink Jet Cartridge Black For Canon MP 198,Buah,0,
321,1010304999000003,Cartridge Black For Fuji Xerox Phaser 3428,Buah,0,
322,1010304999000004,cartridge Black For Fuji Xerox C 3055,Buah,0,
323,1010304999000005,Ink Jet Cartridge Black For Canon IP 198,Buah,0,
324,1010304999000006,Cartridge Color For Fuji Xerox C 3428,Buah,0,
325,1010304999000007,Fuser Printer HP Laser Jet 1320,Buah,0,
326,1010304999000008,Magnet Roll Cartridge HP Laser Jet 1320,Buah,0,
327,1010304999000009,Wifer Cartridge HP Laser Jet 1320,0,0,
328,1010304999000010,Refill Toner HP Laserjet Pro 400,Unit,0,
329,1010304999000011,Roll Press Printer Laserjet HP 1320,Unit,0,
330,1010304999000012,Magnet Roll Printer HP P 2055 D,Buah,0,
331,1010304999000013,Adaptor Scanner Fujitsu F1-5530C2,Unit,0,
332,1010304999000015,PCR Catride printer HP Laserjet P2050,Buah,0,
333,1010304999000016,Magnet Roll Cadrige printer HP Laserjet M401,buah,0,
334,1010304999000017,Magnet Roll Cartridge HP Laser Jet  P2050,Buah,0,
335,1010304999000018,PCR Blitz Catride printer HP Laserjet P2050,Buah,0,
336,1010304999000019,Fizier Catride toner printer HP Laserjet P1320,Buah,0,
337,1010304999000020,Lan Card TP Link,buah,0,
338,1010304999000021,Keyboard Komputer,buah,0,
339,1010304999000022,Keyboard Outlook Angka USB,buah,0,
340,1010304999000023,Kabel data computer pc lenovo think pad,Buah,0,
341,1010304999000024,Batrei cemos computer pc lenovo thinkpad,buah,0,
342,1010304999000025,Fizier Roll Cadridge HP Laserjet 400,unit,0,
343,1010304999000026,Power Supplay Komputer PC Lenovo Think Pad,unit,0,
344,1010304999000027,Power Suplay Komputer Dell,unit,0,
345,1010304999000028,Memory RAM 1 GB DDR3,unit,0,
346,1010304999000029,Memory RAM 2GB DDR3 Lenovo Think Center,unit,0,
347,1010304999000030,Konektor mainboard printer laserjet P2050,set,0,
348,1010304999000031,drum 80A,Set,0,
349,1010304999000032,Lan Card Pro Link Komputer,unit,0,
350,1010304999000033,Memory RAM 2GB Komputer Samsung,unit,0,
351,1010304999000034,Catridge 810 Black New Printer IP2770,Buah,0,
352,1010304999000035,USB Mobile Hub,Buah,0,
353,1010304999000036,Drum 93A Printer HP Laserjet M706,buah,0,
354,1010304999000037,Doctor Blade 93A Printer,Buah,0,
355,1010304999000038,Wireless Acces Point,unit,0,
356,1010304999000039,Kabel Belden,roll,0,
357,1010305001000001,Sapu Ijuk,Buah,0,
358,1010305001000002,Sapu Lantai,Buah,0,
359,1010305001000003,Sapu Lidi,Buah,0,
360,1010305001000004,Sapu Lidi Uk. Besar,Buah,0,
361,1010305002000001,pembersih kaca,buah,0,
362,1010305002000002,Pembersih lantai,buah,0,
363,1010305002000032,Porstek,Buah,0,
364,1010305002000033,Kain pel,buah,0,
365,1010305002000034,Alat Pel,Buah,0,
366,1010305002000035,Lap Kaca,Buah,0,
367,1010305002000036,Lap handuk,Buah,0,
368,1010305002000037,Lap Kain,Buah,0,
369,1010305002000038,pembersih kaca  Mr. Muscle,buah,0,
370,1010305002000039,pembersih lantai  Mr. Muscle,buah,0,
371,1010305002000040,Sabun Cuci Tangan,buah,0,
372,1010305002000041,Busa Cuci Piring,buah,0,
373,1010305002000042,Kawat Cuci Piring,buah,0,
374,1010305002000043,Cleaning Kit,buah,0,
375,1010305002000044,Alat Pembersih Kaca,buah,0,
376,1010305002000045,Chamois Proclean,buah,0,
377,1010305003000001,Ember Plastik,Buah,0,
378,1010305003000002,Gayung plastik,Buah,0,
379,1010305004000001,Keset Kamar Mandi,Buah,0,
380,1010305004000002,Keset Karpet,Buah,0,
381,1010305004000003,Keset Karet,Buah,0,
382,1010305004000004,Tempat Sampah Plastik,Buah,0,
383,1010305004000005,Tempat sampah Besar,buah,0,
384,1010305004000006,Tempah sampah kecil,buah,0,
385,1010305008000001,Pembersih Porselen,Buah,0,
386,1010305008000002,Pembersih Lantai,Liter,0,
387,1010305008000003,Pembersih Porselen  Porstex,buah,0,
388,1010305008000004,Pembersih Lantai  Super Pel,buah,0,
389,1010305008000005,Pembersih kaca  cling,buah,0,
390,1010305008000006,Sabun cuci Piring  Sunlight,buah,0,
391,1010305008000007,Smart Cleaner Pembersih Kamar Mandi,Liter,0,
392,1010305008000008,Pembersih Lantai  SOS,buah,0,
393,1010305008000009,Pembersih Porcelen  Vixal,buah,0,
394,1010305008000010,Pembersih Lantai  Wipol,buah,0,
395,1010305008000011,Super Cleaning M-tech,buah,0,
396,1010305008000012,Pembersih Lantai So Klin,buah,0,
397,1010305012000032,Pengharum ruangan,buah,0,
398,1010305012000033,Pewangi Kloset,Buah,0,
399,1010305012000034,Pengharum Ruangan Matic,Buah,0,
400,1010305012000035,Pengharum ruangan  Glade,buah,0,
401,1010305012000036,Kapur Barus,buah,0,
402,1010305012000037,Pengharum Ruangan  Stella,buah,0,
403,1010305012000038,Aerosol Dispenser,buah,0,
404,1010305012000039,Perfume Refill,buah,0,
405,1010305999000001,Tempat Pensil,Buah,0,
406,1010305999000030,Sabun mandi,buah,0,
407,1010305999000031,Rinso,buah,0,
408,1010305999000032,Sabun Cuci Piring,Botol,0,
409,1010305999000033,Pembersih Kamar Mandi,Botol,0,
410,1010305999000034,Kamfer Kamar Mandi,Pak,0,
411,1010305999000035,Tissue Kotak,Buah,0,
412,1010305999000036,Lampu Neon,Buah,0,
413,1010305999000037,Kemoceng,Buah,0,
414,1010305999000038,Tempat Sampah Injak,Buah,0,
415,1010305999000039,Kamper,Bungkus,0,
416,1010305999000040,Taplak Meja,Buah,0,
417,1010305999000041,Lampu Neon  Philips,buah,0,
418,1010305999000042,Sabun Mandi Dettol,Buah,0,
419,1010305999000043,Peta,Lembar,0,
420,1010305999000044,Pigura,Buah,0,
421,1010305999000045,White Board,Buah,0,
422,1010305999000046,Sabun Cuci Tangan  Dee-Dee,buah,0,
423,1010305999000047,Sabun Cuci Tangan ABT,botol,0,
424,1010305999000048,Kantong plastik,buah,0,
425,1010306002000001,Lampu Bohlam 18 watt,buah,10,
426,1010306002000002,Lampu Neon panjang 18 watt,buah,20,
427,1010306010000001,Batu Baterai A2,Buah,0,
428,1010306010000002,Batu Batere Alkalin Kotak,Buah,1,
429,1010306010000003,Batu Baterai Alkalin Kecil,Buah,0,
430,1010306010000004,Batu Baterai ABC,buah,2,
431,1010306010000005,Batu Baterai Eveready,buah,0,
432,1010306010000006,Batu Baterai Energizer,buah,0,
433,1010306010000007,Batu Baterai Alkaline A3,buah,0,
434,1010306010000008,Batu Baterai ABC Kecil,buah,0,
435,1010306010000009,Batu Baterai Alk LR-03,buah,20,
436,1010306010000010,Batu Baterai Alk LR-06,buah,24,
437,1010307006000001,ID Card,Buah,0,
438,1010307007000003,Box Kecil,Buah,0,
439,1010307007000004,Box Sedang,Buah,0,
440,1010307007000005,Box Besar,Buah,0,
441,1010399999000289,Map Arsip,buah,0,
442,1010399999000290,Box Arsip,buah,71,
443,1010399999000433,Ballpoint Trendee 02 FKP 2023,buah,204,
444,1010399999000630,Bahan Publisitas SE2026 (Totebag),buah,43,
445,1010399999000643,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (X Banner),buah,180,
446,1010399999000644,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (Roll Banner),buah,30,
447,1010399999000645,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (Leaflet),buah,"3,250",
448,1010399999000646,Publisitas dan Sosialisasi Pelaksanaan Sensus Ekonomi 2026 (Baliho),buah,1,
